route_id,service_id,trip_short_name,trip_headsign,direction_id,block_id,shape_id,trip_id
LTFRB_PUJ1293,DAILY,,,,,127509,724641
LTFRB_PUJ1033,DAILY,,,,,198509,724642
LTFRB_PUJ1915,DAILY,,,,,128423,724643
LTFRB_PUJ2302,DAILY,,,,,396352,724644
LTFRB_PUJ1906,DAILY,,,,,292897,724645
LTFRB_PUJ1339,DAILY,,,,,962755,724646
LTFRB_PUJ1973,DAILY,,,,,437856,724647
LTFRB_PUJ1523,DAILY,,,,,676966,724648
LTFRB_PUJ2026,DAILY,,,,,343584,724649
LTFRB_PUJ2012,DAILY,,,,,818411,724650
LTFRB_PUB1194,DAILY,,,,,828086,724651
LTFRB_PUJ1172,DAILY,,,,,354851,724652
LTFRB_PUJ2494,DAILY,,,,,421025,724653
LTFRB_PUJ1020,DAILY,,,,,395920,724654
LTFRB_PUJ1818,DAILY,,,,,539573,724655
LTFRB_PUJ1782,DAILY,,,,,902865,724656
LTFRB_PUJ2419,DAILY,,,,,526415,724657
LTFRB_PUJ1472,DAILY,,,,,356571,724658
LTFRB_PUJ1531,DAILY,,,,,481427,724659
LTFRB_PUJ2244,DAILY,,,,,433258,724660
LTFRB_PUJ2330,DAILY,,,,,776179,724661
LTFRB_PUB1146,DAILY,,,,,397757,724662
LTFRB_PUJ1638,DAILY,,,,,188072,724663
LTFRB_PUJ1525,DAILY,,,,,880823,724664
LTFRB_PUJ1793,DAILY,,,,,115500,724665
LTFRB_PUJ1887,DAILY,,,,,819710,724666
LTFRB_PUJ1223,DAILY,,,,,834177,724667
LTFRB_PUB1150,DAILY,,,,,686537,724668
LTFRB_PUJ1928,DAILY,,,,,989919,724669
LTFRB_PUB1181,DAILY,,,,,826150,724670
LTFRB_PUJ2462,DAILY,,,,,104070,724671
LTFRB_PUJ1072,DAILY,,,,,794825,724672
LTFRB_PUJ1174,DAILY,,,,,377166,724673
LTFRB_PUJ2559,DAILY,,,,,679396,724674
LTFRB_PUJ1294,DAILY,,,,,271269,724675
LTFRB_PUJ1580,DAILY,,,,,180408,724676
LTFRB_PUJ2280,DAILY,,,,,227252,724677
LTFRB_PUJ1300,DAILY,,,,,303817,724678
LTFRB_PUJ1610,DAILY,,,,,664112,724679
LTFRB_PUB1085,DAILY,,,,,238737,724680
LTFRB_PUJ1741,DAILY,,,,,481145,724681
LTFRB_PUJ2605,DAILY,,,,,893744,724682
LTFRB_PUB1142,DAILY,,,,,644340,724683
LTFRB_PUJ1169,DAILY,,,,,282008,724684
LTFRB_PUJ2272,DAILY,,,,,964966,724685
LTFRB_PUJ2590,DAILY,,,,,973476,724686
LTFRB_PUJ1291,DAILY,,,,,518871,724687
LTFRB_PUJ2496,DAILY,,,,,386938,724690
LTFRB_PUJ1925,DAILY,,,,,438684,724694
LTFRB_PUJ2299,DAILY,,,,,341816,724695
LTFRB_PUJ1961,DAILY,,,,,698474,724705
LTFRB_PUJ1467,DAILY,,,,,563040,724719
LTFRB_PUJ1664,DAILY,,,,,952909,725329
LTFRB_PUJ1454,DAILY,,,,,979446,724688
LTFRB_PUJ2141,DAILY,,,,,291496,724689
LTFRB_PUJ1845,DAILY,,,,,551332,724691
LTFRB_PUJ2392,DAILY,,,,,395521,724692
LTFRB_PUJ1457,DAILY,,,,,377232,724693
LTFRB_PUJ1238,DAILY,,,,,454765,724696
LTFRB_PUJ1312,DAILY,,,,,895702,724697
LTFRB_PUJ1247,DAILY,,,,,266373,724698
LTFRB_PUJ1824,DAILY,,,,,398266,724699
LTFRB_PUJ2589,DAILY,,,,,559666,724700
LTFRB_PUJ1405,DAILY,,,,,488782,724701
LTFRB_PUB1022,DAILY,,,,,817577,724702
LTFRB_PUJ1343,DAILY,,,,,825959,724703
LTFRB_PUJ1916,DAILY,,,,,893672,724704
LTFRB_PUJ1558,DAILY,,,,,309842,724706
LTFRB_PUJ1256,DAILY,,,,,166939,724707
LTFRB_PUB1143,DAILY,,,,,438918,724708
LTFRB_PUJ1368,DAILY,,,,,883463,724709
LTFRB_PUJ2333,DAILY,,,,,983474,724710
LTFRB_PUJ1397,DAILY,,,,,112475,724711
LTFRB_PUJ2236,DAILY,,,,,238470,724712
LTFRB_PUJ1701,DAILY,,,,,155484,724713
LTFRB_PUB1062,DAILY,,,,,515518,724714
LTFRB_PUJ1359,DAILY,,,,,695395,724715
LTFRB_PUJ1991,DAILY,,,,,312477,724716
LTFRB_PUJ2437,DAILY,,,,,824479,724717
LTFRB_PUJ1612,DAILY,,,,,306532,724718
LTFRB_PUJ1784,DAILY,,,,,207290,724720
LTFRB_PUJ1309,DAILY,,,,,601399,724721
LTFRB_PUB1114,DAILY,,,,,270968,724722
LTFRB_PUJ1796,DAILY,,,,,888779,724723
LTFRB_PUJ2229,DAILY,,,,,184602,724724
LTFRB_PUB1162,DAILY,,,,,528801,724725
LTFRB_PUB1198,DAILY,,,,,729614,724726
LTFRB_PUJ2255,DAILY,,,,,779270,724727
LTFRB_PUJ1170,DAILY,,,,,908629,724728
LTFRB_PUJ2275,DAILY,,,,,868156,724729
LTFRB_PUJ1866,DAILY,,,,,750514,724730
LTFRB_PUJ1259,DAILY,,,,,724256,724731
LTFRB_PUJ1934,DAILY,,,,,877504,724732
LTFRB_PUJ1911,DAILY,,,,,687870,724733
LTFRB_PUJ2529,DAILY,,,,,740227,724734
LTFRB_PUJ1402,DAILY,,,,,563635,724735
LTFRB_PUJ1807,DAILY,,,,,811223,724736
LTFRB_PUJ1341,DAILY,,,,,847712,724737
LTFRB_PUJ1219,DAILY,,,,,957509,724738
LTFRB_PUJ1624,DAILY,,,,,218864,724739
LTFRB_PUJ1159,DAILY,,,,,883799,724740
LTFRB_PUB1170,DAILY,,,,,650365,724741
LTFRB_PUJ1067,DAILY,,,,,198438,724742
LTFRB_PUJ1863,DAILY,,,,,715141,724743
LTFRB_PUJ1980,DAILY,,,,,177729,724744
LTFRB_PUJ1243,DAILY,,,,,398939,724745
LTFRB_PUJ2181,DAILY,,,,,238851,724746
LTFRB_PUJ1421,DAILY,,,,,145826,724747
LTFRB_PUJ1333,DAILY,,,,,816931,724748
LTFRB_PUJ1806,DAILY,,,,,867195,724749
LTFRB_PUJ1137,DAILY,,,,,475246,724750
LTFRB_PUJ1493,DAILY,,,,,379538,724751
LTFRB_PUB1011,DAILY,,,,,910351,724752
LTFRB_PUJ1924,DAILY,,,,,540633,724753
LTFRB_PUJ1985,DAILY,,,,,898759,724754
LTFRB_PUJ2575,DAILY,,,,,135723,724755
LTFRB_PUJ1114,DAILY,,,,,752156,724756
LTFRB_PUJ1790,DAILY,,,,,956721,724757
LTFRB_PUJ2615,DAILY,,,,,520774,724758
LTFRB_PUJ1779,DAILY,,,,,758905,724759
LTFRB_PUJ1909,DAILY,,,,,504039,724760
LTFRB_PUJ2193,DAILY,,,,,942952,724761
LTFRB_PUJ2341,DAILY,,,,,231226,724762
LTFRB_PUJ1196,DAILY,,,,,698734,724763
LTFRB_PUJ2596,DAILY,,,,,426964,724764
LTFRB_PUJ1731,DAILY,,,,,884172,724766
LTFRB_PUJ1280,DAILY,,,,,373718,724767
LTFRB_PUB1015,DAILY,,,,,628684,724768
LTFRB_PUJ1608,DAILY,,,,,868773,724769
LTFRB_PUJ1700,DAILY,,,,,338149,724770
LTFRB_PUJ2224,DAILY,,,,,203379,724771
LTFRB_PUB1121,DAILY,,,,,911709,724772
LTFRB_PUJ1442,DAILY,,,,,703872,724774
LTFRB_PUJ1484,DAILY,,,,,988509,724775
LTFRB_PUB1127,DAILY,,,,,734572,724776
LTFRB_PUJ1364,DAILY,,,,,634140,724777
LTFRB_PUJ1866,DAILY,,,,,750514,724778
LTFRB_PUJ2003,DAILY,,,,,356512,724779
LTFRB_PUJ2286,DAILY,,,,,918304,724780
LTFRB_PUJ2451,DAILY,,,,,317387,724781
